supplement_id,name,vendor_code,class,external_ref_id,active,description,vendor,dosage_form,strength,unit,additional_object,additional_id,additional_nicknames,additional_type,additional_charge,additional_plan_ordering_instructions,additional_addedby,additional_dateupdated,additional_url_supplement_details,additional_inactive,additional_created
1,Bach Flower Essence,,mdhq-default,,True,,,,,,supplement,1,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/1,False,2017-03-29 22:22:22
2,AM/PM Menopause Formula,,mdhq-default,,True,,,,,,supplement,2,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/2,False,2017-03-29 22:22:22
3,Bach RR Pastilles,,mdhq-default,,True,,,,,,supplement,3,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/3,False,2017-03-29 22:22:22
4,Boiron Arnica Gel,,mdhq-default,,True,,,,,,supplement,4,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/4,False,2017-03-29 22:22:22
5,Des Bio Adrenal,,mdhq-default,,True,,,,,,supplement,5,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/5,False,2017-03-29 22:22:22
6,Des Bio Bartonella Series,,mdhq-default,,True,,,,,,supplement,6,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/6,False,2017-03-29 22:22:22
7,Des Bio Borrelia Series,,mdhq-default,,True,,,,,,supplement,7,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/7,False,2017-03-29 22:22:22
8,Des Bio Candida Albicans Series,,mdhq-default,,True,,,,,,supplement,8,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/8,False,2017-03-29 22:22:22
9,Des Bio Coll Silver 8 oz,,mdhq-default,,True,,,,,,supplement,9,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/9,False,2017-03-29 22:22:22
10,Des Bio Condylomata Series,,mdhq-default,,True,,,,,,supplement,10,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/10,False,2017-03-29 22:22:22
11,Des Bio Fenugreek,,mdhq-default,,True,,,,,,supplement,11,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/11,False,2017-03-29 22:22:22
12,Des Bio Homeo Allergy Rescue,,mdhq-default,,True,,,,,,supplement,12,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/12,False,2017-03-29 22:22:22
13,Des Bio Homeo Allermilk,,mdhq-default,,True,,,,,,supplement,13,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/13,False,2017-03-29 22:22:22
14,Des Bio Homeo Asthma Plus,,mdhq-default,,True,,,,,,supplement,14,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/14,False,2017-03-29 22:22:22
15,Des Bio Homeo Bacteria Combo,,mdhq-default,,True,,,,,,supplement,15,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/15,False,2017-03-29 22:22:22
16,Des Bio Homeo Borrelia Remedy,,mdhq-default,,True,,,,,,supplement,16,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/16,False,2017-03-29 22:22:22
17,Des Bio Homeo Candida Remedy,,mdhq-default,,True,,,,,,supplement,17,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/17,False,2017-03-29 22:22:22
18,Des Bio Homeo Dietary Balance,,mdhq-default,,True,,,,,,supplement,18,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/18,False,2017-03-29 22:22:22
19,Des Bio Homeo Ehrlichia Nosode,,mdhq-default,,True,,,,,,supplement,19,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/19,False,2017-03-29 22:22:22
20,Des Bio Homeo Enviro I,,mdhq-default,,True,,,,,,supplement,20,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/20,False,2017-03-29 22:22:22
21,Des Bio Homeo Flu Nosode,,mdhq-default,,True,,,,,,supplement,21,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/21,False,2017-03-29 22:22:22
22,Des Bio Homeo Flu Remedy,,mdhq-default,,True,,,,,,supplement,22,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/22,False,2017-03-29 22:22:22
23,Des Bio Homeo Hormone Combo,,mdhq-default,,True,,,,,,supplement,23,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/23,False,2017-03-29 22:22:22
24,Des Bio Homeo Insect Bite,,mdhq-default,,True,,,,,,supplement,24,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/24,False,2017-03-29 22:22:22
25,Des Bio Homeo LYM,,mdhq-default,,True,,,,,,supplement,25,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/25,False,2017-03-29 22:22:22
26,Des Bio Homeo Oratox,,mdhq-default,,True,,,,,,supplement,26,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/26,False,2017-03-29 22:22:22
27,Des Bio Homeo Sinusitis,,mdhq-default,,True,,,,,,supplement,27,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/27,False,2017-03-29 22:22:22
28,Des Bio Homeo Tobacco,,mdhq-default,,True,,,,,,supplement,28,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/28,False,2017-03-29 22:22:22
29,Des Bio Homeo Upper Resp Staph,,mdhq-default,,True,,,,,,supplement,29,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/29,False,2017-03-29 22:22:22
30,Des Bio Homeo Vax Reaction,,mdhq-default,,True,,,,,,supplement,30,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/30,False,2017-03-29 22:22:22
31,Des Bio Homeo Virus Combination,,mdhq-default,,True,,,,,,supplement,31,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/31,False,2017-03-29 22:22:22
32,Des Bio Silver 2 ounce,,mdhq-default,,True,,,,,,supplement,32,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/32,False,2017-03-29 22:22:22
33,DL Myoceutics,,mdhq-default,,True,,,,,,supplement,33,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/33,False,2017-03-29 22:22:22
34,DL Phos-serine,,mdhq-default,,True,,,,,,supplement,34,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/34,False,2017-03-29 22:22:22
35,DL Ultra-D Tox Capsules,,mdhq-default,,True,,,,,,supplement,35,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/35,False,2017-03-29 22:22:22
36,DL Ultra PreventiveX,,mdhq-default,,True,,,,,,supplement,36,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/36,False,2017-03-29 22:22:22
37,Golden Flower Restful Sleep,,mdhq-default,,True,,,,,,supplement,37,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/37,False,2017-03-29 22:22:22
38,Kan Women's Rhythm,,mdhq-default,,True,,,,,,supplement,38,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/38,False,2017-03-29 22:22:22
39,Klaire Interfase Plus,,mdhq-default,,True,,,,,,supplement,39,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/39,False,2017-03-29 22:22:22
40,Klaire Labs Vital-zymes,,mdhq-default,,True,,,,,,supplement,40,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/40,False,2017-03-29 22:22:22
41,Metagenics Fenugreek Plus,,mdhq-default,,True,,,,,,supplement,41,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/41,False,2017-03-29 22:22:22
42,Metagenics Nazanol,,mdhq-default,,True,,,,,,supplement,42,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/42,False,2017-03-29 22:22:22
43,Metagenics Ultra Clear Sustain,,mdhq-default,,True,,,,,,supplement,43,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/43,False,2017-03-29 22:22:22
44,Nordic Naturals ProEPA,,mdhq-default,,True,,,,,,supplement,44,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/44,False,2017-03-29 22:22:22
45,Perque Vessel Health Guard,,mdhq-default,,True,,,,,,supplement,45,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/45,False,2017-03-29 22:22:22
